YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1923-06-01;--:--;   -999.000;    101.044; 100
1923-07-01;--:--;   -999.000;     56.690; 100
1923-08-01;--:--;   -999.000;     51.594; 100
1923-09-01;--:--;   -999.000;     40.936; 100
1923-10-01;--:--;   -999.000;     67.793; 100
1923-11-01;--:--;   -999.000;    162.595; 100
1923-12-01;--:--;   -999.000;    333.426; 100
1924-01-01;--:--;   -999.000;    268.535; 100
1924-02-01;--:--;   -999.000;    141.008; 100
1924-03-01;--:--;   -999.000;    246.904; 100
1924-04-01;--:--;   -999.000;    686.494; 100
1924-05-01;--:--;   -999.000;    432.270; 100
1924-06-01;--:--;   -999.000;    113.768; 100
1924-07-01;--:--;   -999.000;     59.076; 100
1924-08-01;--:--;   -999.000;     46.397; 100
1924-09-01;--:--;   -999.000;    108.831; 100
1924-10-01;--:--;   -999.000;     80.460; 100
1924-11-01;--:--;   -999.000;     78.777; 100
1924-12-01;--:--;   -999.000;     92.920; 100
1925-01-01;--:--;   -999.000;     45.896; 100
1925-02-01;--:--;   -999.000;    260.249; 100
1925-03-01;--:--;   -999.000;    478.234; 100
1925-04-01;--:--;   -999.000;    414.747; 100
1925-05-01;--:--;   -999.000;    192.216; 100
1925-06-01;--:--;   -999.000;     97.011; 100
1925-07-01;--:--;   -999.000;    113.025; 100
1925-08-01;--:--;   -999.000;     72.051; 100
1925-09-01;--:--;   -999.000;     63.130; 100
1925-10-01;--:--;   -999.000;    103.236; 100
1925-11-01;--:--;   -999.000;    191.054; 100
1925-12-01;--:--;   -999.000;    246.722; 100
1926-01-01;--:--;   -999.000;    148.197; 100
1926-02-01;--:--;   -999.000;    120.943; 100
1926-03-01;--:--;   -999.000;    230.608; 100
1926-04-01;--:--;   -999.000;    543.871; 100
1926-05-01;--:--;   -999.000;    300.514; 100
1926-06-01;--:--;   -999.000;    111.955; 100
1926-07-01;--:--;   -999.000;     67.589; 100
1926-08-01;--:--;   -999.000;     50.856; 100
1926-09-01;--:--;   -999.000;     43.632; 100
1926-10-01;--:--;   -999.000;     67.177; 100
1926-11-01;--:--;   -999.000;    209.308; 100
1926-12-01;--:--;   -999.000;    124.165; 100
1927-01-01;--:--;   -999.000;    128.768; 100
1927-02-01;--:--;   -999.000;    138.904; 100
1927-03-01;--:--;   -999.000;    444.985; 100
1927-04-01;--:--;   -999.000;    260.033; 100
1927-05-01;--:--;   -999.000;    200.099; 100
1927-06-01;--:--;   -999.000;    104.211; 100
1927-07-01;--:--;   -999.000;     83.105; 100
1927-08-01;--:--;   -999.000;     96.113; 100
1927-09-01;--:--;   -999.000;    142.009; 100
1927-10-01;--:--;   -999.000;    162.223; 100
1927-11-01;--:--;   -999.000;    500.887; 100
1927-12-01;--:--;   -999.000;    383.556; 100
1928-01-01;--:--;   -999.000;    243.141; 100
1928-02-01;--:--;   -999.000;    246.073; 100
1928-03-01;--:--;   -999.000;    247.233; 100
1928-04-01;--:--;   -999.000;    451.842; 100
1928-05-01;--:--;   -999.000;    419.573; 100
1928-06-01;--:--;   -999.000;    287.132; 100
1928-07-01;--:--;   -999.000;    190.947; 100
1928-08-01;--:--;   -999.000;    176.121; 100
1928-09-01;--:--;   -999.000;    162.321; 100
1928-10-01;--:--;   -999.000;     99.849; 100
1928-11-01;--:--;   -999.000;    101.393; 100
1928-12-01;--:--;   -999.000;    118.255; 100
1929-01-01;--:--;   -999.000;    173.290; 100
1929-02-01;--:--;   -999.000;    166.311; 100
1929-03-01;--:--;   -999.000;    489.716; 100
1929-04-01;--:--;   -999.000;    563.599; 100
1929-05-01;--:--;   -999.000;    481.285; 100
1929-06-01;--:--;   -999.000;    128.974; 100
1929-07-01;--:--;   -999.000;     72.663; 100
1929-08-01;--:--;   -999.000;     48.787; 100
1929-09-01;--:--;   -999.000;     44.838; 100
1929-10-01;--:--;   -999.000;     50.072; 100
1929-11-01;--:--;   -999.000;     63.804; 100
1929-12-01;--:--;   -999.000;     60.217; 100
1930-01-01;--:--;   -999.000;    122.219; 100
1930-02-01;--:--;   -999.000;    137.711; 100
1930-03-01;--:--;   -999.000;    329.133; 100
1930-04-01;--:--;   -999.000;    298.318; 100
1930-05-01;--:--;   -999.000;    170.138; 100
1930-06-01;--:--;   -999.000;    147.568; 100
1930-07-01;--:--;   -999.000;     66.033; 100
1930-08-01;--:--;   -999.000;     64.839; 100
1930-09-01;--:--;   -999.000;     44.331; 100
1930-10-01;--:--;   -999.000;     37.766; 100
1930-11-01;--:--;   -999.000;     83.870; 100
1930-12-01;--:--;   -999.000;     68.285; 100
1931-01-01;--:--;   -999.000;     51.909; 100
1931-02-01;--:--;   -999.000;     59.599; 100
1931-03-01;--:--;   -999.000;    220.743; 100
1931-04-01;--:--;   -999.000;    501.406; 100
1931-05-01;--:--;   -999.000;    265.173; 100
1931-06-01;--:--;   -999.000;    304.717; 100
1931-07-01;--:--;   -999.000;     97.181; 100
1931-08-01;--:--;   -999.000;     65.452; 100
1931-09-01;--:--;   -999.000;     59.424; 100
1931-10-01;--:--;   -999.000;     59.888; 100
1931-11-01;--:--;   -999.000;     81.486; 100
1931-12-01;--:--;   -999.000;    133.034; 100
